Date, Close/Last, Volume, Open, High, Low
02/28/2018, $69.21, 1946711, $70.01, $70.55, $69.2
02/27/2018, $70.04, 3179292, $70.31, $71.06, $69.59
02/26/2018, $70.57, 1541746, $69.39, $71.02, $69.18
02/23/2018, $69.31, 1660828, $68.21, $69.62, $68.09
02/22/2018, $67.83, 2148952, $69, $69.74, $67.6
02/21/2018, $68.81, 2618204, $68.78, $69.73, $68.38
02/20/2018, $68.84, 2361461, $69.07, $69.3, $67.91
02/16/2018, $69.34, 2558096, $67.9, $70.4399, $67.66
02/15/2018, $68.1, 2899428, $68.04, $68.935, $67.52
02/14/2018, $67.34, 2423665, $65.46, $67.45, $65.36
02/13/2018, $65.69, 4063245, $65.08, $66.17, $63.8
02/12/2018, $68.03, 3316897, $67.12, $68.81, $66.86
02/09/2018, $66.72, 4354478, $67.36, $67.74, $64.23
02/08/2018, $66.63, 5093524, $67.36, $68.93, $65.495
02/07/2018, $65.14, 3381530, $65.14, $66.31, $64.52
02/06/2018, $65.44, 4520402, $63.32, $66, $62.4
02/05/2018, $64.34, 3594287, $67, $67.32, $64.33
02/02/2018, $67.46, 3426977, $68.7, $69.02, $67.29
02/01/2018, $69.06, 4670787, $70.61, $70.68, $67.89
01/31/2018, $71.79, 4208995, $74.05, $74.09, $71.33
01/30/2018, $73.87, 3449982, $71.94, $74.74, $71.68
01/29/2018, $75.23, 2457883, $74.72, $75.75, $74.519
01/26/2018, $74.97, 1403708, $74.28, $75.02, $74.09
01/25/2018, $73.99, 2426839, $74.46, $74.76, $73.33
01/24/2018, $74.69, 2749051, $73.98, $75.35, $73.59
01/23/2018, $73.21, 2217052, $73.5, $73.93, $72.57
01/22/2018, $73.51, 3313779, $72.05, $73.97, $72.02
01/19/2018, $71.91, 2856550, $72.03, $72.55, $71.22
01/18/2018, $71.71, 3821034, $72.3, $72.72, $70.89
01/17/2018, $72.65, 3369972, $72, $73.16, $71.6
01/16/2018, $72.58, 4519710, $71.6, $73.17, $71.56
01/12/2018, $71.49, 4040480, $69.44, $71.52, $68.78
01/11/2018, $69.11, 2565915, $68.19, $69.17, $67.78
01/10/2018, $68.06, 4359030, $66.85, $68.16, $65.69
01/09/2018, $67.1, 5314158, $65.18, $67.44, $64.75
01/08/2018, $65.22, 3546144, $63.41, $65.62, $63
01/05/2018, $63.22, 3149929, $63.57, $63.92, $62.71
01/04/2018, $63.66, 2728702, $62.97, $63.9, $62.3
01/03/2018, $62.86, 1784998, $63.01, $63.31, $62.5
01/02/2018, $63.23, 2410111, $61.7, $63.34, $61.62
12/29/2017, $61.27, 1508840, $61.93, $62.12, $61.26
12/28/2017, $62.14, 1207091, $62.26, $62.42, $61.58
12/27/2017, $62.3, 1191576, $62.81, $62.84, $62.1
12/26/2017, $62.67, 1540524, $62.49, $63.31, $62.38
12/22/2017, $62.49, 2284874, $62.95, $63.2, $62.3
12/21/2017, $62.68, 2016967, $63.49, $63.75, $62.51
12/20/2017, $63.46, 3152496, $63.11, $63.78, $63.11
12/19/2017, $63.01, 3956583, $62.25, $63.35, $62.14
12/18/2017, $62.39, 4362799, $62.94, $63, $62.05
12/15/2017, $63.19, 9027424, $61, $63.79, $60.66
12/14/2017, $60.35, 3249055, $60.61, $62.09, $60.34
12/13/2017, $60.57, 2376662, $60.12, $60.9, $60.05
12/12/2017, $60.26, 2924171, $60.29, $60.755, $59.68
12/11/2017, $60.24, 2966064, $59.16, $60.45, $58.88
12/08/2017, $58.89, 2987026, $58.58, $59.46, $58.46
12/07/2017, $58.5, 2527218, $59.79, $60.17, $58.45
12/06/2017, $59.72, 2768484, $60.41, $60.94, $59.435
12/05/2017, $60.35, 4167295, $60.99, $61.35, $59.68
12/04/2017, $61.02, 6033358, $59.31, $61.14, $59.04
12/01/2017, $58.9, 4462325, $58.95, $59.15, $57.401
11/30/2017, $59.19, 4086084, $59.3, $60.1, $58.38
11/29/2017, $59.11, 4802203, $57.82, $59.74, $57.76
11/28/2017, $57.56, 2972279, $55.94, $57.65, $55.5
11/27/2017, $55.89, 2987490, $56.42, $56.6305, $55.485
11/24/2017, $56.37, 743108, $57.01, $57.12, $56.12
11/22/2017, $56.97, 4503252, $55.9, $57.585, $55.86
11/21/2017, $55.72, 4136318, $55.06, $56.22, $54.84
11/20/2017, $55, 5543622, $55.96, $56.6, $54.66
11/17/2017, $57.51, 3531851, $57.04, $58.01, $56.83
11/16/2017, $57.42, 4960021, $56.83, $57.825, $56.2301
11/15/2017, $56.83, 6210237, $56.18, $57.78, $55.69
11/14/2017, $57.07, 3453852, $58.32, $58.43, $56.69
11/13/2017, $58.33, 5398451, $58.6, $59.35, $57.65
11/10/2017, $58.55, 8061643, $60.23, $60.3956, $58.32
11/09/2017, $60.56, 2515341, $60.88, $61.63, $60.47
11/08/2017, $60.99, 2481492, $60.27, $61.07, $60.06
11/07/2017, $60.27, 2385211, $60.35, $61.65, $59.99
11/06/2017, $60.25, 4789595, $60.19, $60.75, $57.545
11/03/2017, $61.38, 4167137, $60.62, $61.75, $60.51
11/02/2017, $61.07, 3899465, $62.47, $62.91, $60.3301
11/01/2017, $62.18, 3484539, $60.81, $62.6, $60.8
10/31/2017, $61.9, 5444772, $61.81, $63.01, $60.69
10/30/2017, $61.7, 3727841, $61.75, $62.6, $61.53
10/27/2017, $62.01, 7873532, $64.49, $64.63, $61.64
10/26/2017, $64.75, 8325001, $68.5, $69.34, $64.2
10/25/2017, $67.05, 2185842, $66.58, $67.18, $66.53
10/24/2017, $66.44, 2180911, $66.4, $66.86, $65.82
10/23/2017, $66.65, 1846583, $66.77, $67.18, $66.51
10/20/2017, $66.71, 1493839, $66.44, $66.96, $66.39
10/19/2017, $66.15, 1937972, $64.6, $66.23, $64.6
10/18/2017, $64.7, 2756373, $65.18, $65.85, $64.49
10/17/2017, $65.08, 2278749, $64.49, $65.22, $64.1
10/16/2017, $64.63, 2449599, $64.79, $65.92, $64.42
10/13/2017, $64.96, 3742252, $66.15, $66.35, $63.85
10/12/2017, $66.33, 3138851, $65.78, $66.8, $65.57
10/11/2017, $65.82, 2213515, $65.71, $66.04, $65.54
10/10/2017, $65.78, 1607859, $65.38, $65.9, $65.25
10/09/2017, $64.92, 3508250, $65.83, $65.88, $64.23
10/06/2017, $65.88, 3661809, $67.6, $67.885, $65.5999
